 OUTWATCH                  Unknown Client            Do not have               From File                 ************                                                 YES
 OUTPUT_RESULT             Unknown Client            Do not have               From File                 ************                                                 YES
 DT_LOG                    Unknown Client            Do not have               From File                 ..\res\dt.log                                                YES
 IN_MODEL                  Unknown Client            Do not have               From File                 ..\data\Model.dat                                            YES
 START                     Mohid Land                Do not have               From File                 2010.00000000000        1.00000000000000        1.0000000000 YES
 END                       Mohid Land                Do not have               From File                 2011.00000000000        7.00000000000000        1.0000000000 YES
 DT                        Mohid Land                Do not have               From File                 60.0000000000000                                             YES
 VARIABLEDT                Mohid Land                FALSE                     From File                 TRUE                                                         YES
 MAXDT                     Mohid Land                Do not have               From File                 3600.00000000000                                             YES
 GMTREFERENCE              Mohid Land                0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 DT_PREDICTION_INTERVAL    Mohid Land                60.0000000000000          From File                 60.0000000000000                                             YES
 MODEL_NAME                MOHIDLand                 MOHID Land Model          From File                 MOHID Land Model                                             YES
 STOP_ON_BATHYMETRY_CHANGE MOHIDLand                 TRUE                      From File                 TRUE                                                         YES
 SYNC_DT                   MOHIDLand                 FALSE                     From File                 FALSE                                                        YES
 BASIN_DATA                Unknown Client            Do not have               From File                 ..\data\Basin.dat                                            YES
 IN_BASIN                  Unknown Client            Do not have               From File                 ..\General Data\Digital Terrain\topography.dat               YES
 BASIN_HDF                 Unknown Client            Do not have               From File                 ..\res\Basin.hdf                                             YES
 BASIN_FIN                 Unknown Client            Do not have               From File                 ..\res\Basin.fin                                             YES
 ILB_IUB                   HorizontalGrid            Do not have               From File                 1           3                                                YES
 JLB_JUB                   HorizontalGrid            Do not have               From File                 1           3                                                YES
 HALOPOINTS                HorizontalGrid            3                         From File                 3                                                            YES
 COORD_TIP                 HorizontalGrid            Do not have               From File                 5                                                            YES
 LATITUDE                  HorizontalGrid            Do not have               From File                 39.1373250000000                                             YES
 LONGITUDE                 HorizontalGrid            Do not have               From File                 -8.33456700000000                                            YES
 DATUM                     HorizontalGrid            3                         From File                 3                                                            YES
 EASTING                   HorizontalGrid            0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 NORTHING                  HorizontalGrid            0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 PROJ_TYPE                 HorizontalGrid            11                        From File                 11                                                           YES
 SP1                       HorizontalGrid            30.0000000000000          From File                 30.0000000000000                                             YES
 SP2                       HorizontalGrid            60.0000000000000          From File                 60.0000000000000                                             YES
 ORIGIN                    HorizontalGrid            Do not have               From File                 0.000000000000000E+000  0.000000000000000E+000               YES
 GRID_ANGLE                HorizontalGrid            0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 CONSTANT_SPACING_Y        Unknown Client            Do not have               From File                 FALSE                                                        YES
 CONSTANT_SPACING_X        Unknown Client            Do not have               From File                 FALSE                                                        YES
 FILL_VALUE                ModuleGridData            -99.0000000000000         From File                 -99.0000000000000                                            YES
 TYPE_ZUV                  ModuleGridData            Z                         From File                 Z                                                            YES
 EVOLUTION                 ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 CONSTANT_IN_SPACE         ModuleGridData            FALSE                     From File                 FALSE                                                        YES
 DEFAULT_VALUE             ModuleGridData            0.000000000000000E+000    From File                 0.000000000000000E+000                                       YES
 BASIN_GEOMETRY            Unknown Client            Do not have               From File                 ..\data\Basin Geometry.dat                                   YES
 FLAT_SOLUTION             ModuleBasinGeometry       FALSE                     From File                 FALSE                                                        YES
